vote_id,decision_id,start_date,method,outcome,attendees,votes_favor,votes_against,heading,master_doc,item_number,abstentions,Council win or loss,day_category
2016-12-14-VOT-ITM-562728-11,,,Roll Call / Electronic,Rejected,,166.0,506.0,,eli/dl/doc/PV-8-2016-12-14-VOT,11.0,34.0,Council win,Wednesday
2017-03-15-VOT-ITM-588913-4,,,Auto-adopted,Approved,,,,,eli/dl/doc/PV-8-2017-03-15-VOT,4.0,,Council win,Wednesday
2017-04-05-VOT-ITM-595015-6,,,Roll Call / Electronic,Rejected,,66.0,635.0,,eli/dl/doc/PV-8-2017-04-05-VOT,6.0,2.0,Council win,Wednesday
2017-04-05-VOT-ITM-595016-7,,,Roll Call / Electronic,Rejected,,59.0,635.0,,eli/dl/doc/PV-8-2017-04-05-VOT,7.0,9.0,Council win,Wednesday
2017-07-05-VOT-ITM-621428-6,,,Roll Call / Electronic,Approved,,74.0,510.0,,eli/dl/doc/PV-8-2017-07-05-VOT,6.0,82.0,Council win,Wednesday
2017-10-24-VOT-ITM-650811-6,,,Auto-adopted,Approved,,,,,eli/dl/doc/PV-8-2017-10-24-VOT,6.0,,Council win,Tuesday
2017-12-12-VOT-ITM-662304-1,,,Auto-adopted,Approved,,,,,eli/dl/doc/PV-8-2017-12-12-VOT,1.0,,Council win,Tuesday
2018-05-30-VOT-ITM-704390-3,,,Auto-adopted,Approved,,,,,eli/dl/doc/PV-8-2018-05-30-VOT,3.0,,Council win,Wednesday
2023-04-18-VOT-ITM-938946,,,Auto-adopted,Approved,,,,,eli/dl/doc/PV-9-2023-04-18-VOT,1.0,,Council win,Tuesday
2023-09-12-VOT-ITM-939458,,,Auto-adopted,Approved,,,,,eli/dl/doc/PV-9-2023-09-12-VOT,2.0,,Council win,Tuesday
2024-10-22-VOT-ITM-962879,eli/dl/event/MTG-PL-2024-10-22-DEC-170219,,Auto-adopted,Approved,,,,,,,,Council win,Tuesday
2024-12-17-VOT-ITM-965069,eli/dl/event/MTG-PL-2024-12-17-DEC-171264,,Auto-adopted,Approved,,,,,,,,Council win,Tuesday
2025-05-06-VOT-ITM-965500,eli/dl/event/MTG-PL-2025-05-06-DEC-176082,,Auto-adopted,Approved,,,,,,,,Council win,Tuesday
2025-05-06-VOT-ITM-965505,eli/dl/event/MTG-PL-2025-05-06-DEC-176084,,Auto-adopted,Approved,,,,,,,,Council win,Tuesday
2025-05-06-VOT-ITM-965509,eli/dl/event/MTG-PL-2025-05-06-DEC-176083,,Auto-adopted,Approved,,,,,,,,Council win,Tuesday
2025-09-09-VOT-ITM-970636,eli/dl/event/MTG-PL-2025-09-09-DEC-178814,,Auto-adopted,Approved,,,,,,,,Council win,Tuesday
2025-10-07-VOT-ITM-973321,eli/dl/event/MTG-PL-2025-10-07-DEC-179299,,def/ep-decision-methods/VOTE_HAND,def/ep-statuses/REJECTED,,,,,,,,Council win,Tuesday
2025-10-21-VOT-ITM-974699,eli/dl/event/MTG-PL-2025-10-21-DEC-180204,,Auto-adopted,Approved,,,,,,,,Council win,Tuesday
2025-10-21-VOT-ITM-974713,eli/dl/event/MTG-PL-2025-10-21-DEC-180203,,Auto-adopted,Approved,,,,,,,,Council win,Tuesday
2025-10-23-VOT-ITM-975331,eli/dl/event/MTG-PL-2025-10-23-DEC-180520,2025-10-23T13:08:06+02:00,def/ep-decision-methods/VOTE_ELECTRONIC_ROLLCALL,def/ep-statuses/REJECTED,571.0,220.0,341.0,Proposal to reject the Council position,,,,Council win,Thursday
2025-10-23-VOT-ITM-975337,eli/dl/event/MTG-PL-2025-10-23-DEC-180605,,Auto-adopted,Approval without vote,,,,,,,,Council win,Thursday
2025-11-13-VOT-ITM-975415,eli/dl/event/MTG-PL-2025-11-13-DEC-181470,,Auto-adopted,Approval without vote,,,,,,,,Council win,Thursday
2025-11-13-VOT-ITM-975467,eli/dl/event/MTG-PL-2025-11-13-DEC-181469,,Auto-adopted,Approval without vote,,,,,,,,Council win,Thursday
2025-11-25-VOT-ITM-976302,eli/dl/event/MTG-PL-2025-11-25-DEC-182005,,Auto-adopted,Approved,,,,,,,,Council win,Tuesday
2025-12-16-VOT-ITM-978305,eli/dl/event/MTG-PL-2025-12-16-DEC-182611,,def/ep-decision-methods/VOTE_ELECTRONIC_ROLLCALL,def/ep-statuses/REJECTED,660.0,132.0,467.0,,,,,Council win,Tuesday
2025-12-16-VOT-ITM-978318,eli/dl/event/MTG-PL-2025-12-16-DEC-182608,,def/ep-decision-methods/VOTE_ELECTRONIC_ROLLCALL,def/ep-statuses/REJECTED,661.0,122.0,470.0,,,,,Council win,Tuesday
2026-01-21-VOT-ITM-981675,eli/dl/event/MTG-PL-2026-01-21-DEC-183557,,def/ep-decision-methods/VOTE_ELECTRONIC_ROLLCALL,def/ep-statuses/ADOPTED,656.0,632.0,15.0,,,,,Council loss,Wednesday
2026-01-22-VOT-ITM-982162,eli/dl/event/MTG-PL-2026-01-22-DEC-184076,,Auto-adopted,Approval without vote,,,,,,,,Council win,Thursday
2026-03-26-VOT-ITM-987073,eli/dl/event/MTG-PL-2026-03-26-DEC-189900,,Auto-adopted,Approval without vote,,,,,,,,Council win,Thursday
2026-03-26-VOT-ITM-987077,eli/dl/event/MTG-PL-2026-03-26-DEC-189897,,Auto-adopted,Approval without vote,,,,,,,,Council win,Thursday
2026-03-26-VOT-ITM-987078,eli/dl/event/MTG-PL-2026-03-26-DEC-189899,,Auto-adopted,Approval without vote,,,,,,,,Council win,Thursday
2026-03-26-VOT-ITM-987079,eli/dl/event/MTG-PL-2026-03-26-DEC-189898,,Auto-adopted,Approval without vote,,,,,,,,Council win,Thursday
2026-05-19-VOT-ITM-990673,eli/dl/event/MTG-PL-2026-05-19-DEC-192454,,def/ep-decision-methods/VOTE_HAND,def/ep-statuses/REJECTED,,,,Draft legislative act,,,,Council win,Tuesday
2026-05-19-VOT-ITM-990692,eli/dl/event/MTG-PL-2026-05-19-DEC-192475,,def/ep-decision-methods/VOTE_HAND,def/ep-statuses/REJECTED,,,,,,,,Council win,Tuesday
2026-06-17-VOT-ITM-992874,eli/dl/event/MTG-PL-2026-06-17-DEC-194440,,def/ep-decision-methods/VOTE_ELECTRONIC_ROLLCALL,def/ep-statuses/REJECTED,657.0,270.0,349.0,,,,,Council win,Wednesday
2026-07-07-VOT-ITM-992933,eli/dl/event/MTG-PL-2026-07-07-DEC-195007,,def/ep-decision-methods/VOTE_ELECTRONIC_ROLLCALL,def/ep-statuses/ADOPTED,661.0,646.0,12.0,,,,,Council loss,Tuesday
2026-07-09-VOT-ITM-993015,eli/dl/event/MTG-PL-2026-07-09-DEC-195807,2026-07-09T13:34:02+02:00,def/ep-decision-methods/VOTE_ELECTRONIC_ROLLCALL,def/ep-statuses/REJECTED,592.0,276.0,286.0,Proposal for rejection (Rule 68(4)),,,,Council win,Thursday
2026-07-09-VOT-ITM-993015,eli/dl/event/MTG-PL-2026-07-09-DEC-195801,2026-07-09T13:29:24+02:00,def/ep-decision-methods/VOTE_ELECTRONIC_ROLLCALL,def/ep-statuses/REJECTED,562.0,157.0,385.0,Draft legislative act ,,,,Council win,Thursday
2026-07-09-VOT-ITM-993015,eli/dl/event/MTG-PL-2026-07-09-DEC-195800,2026-07-09T13:29:05+02:00,def/ep-decision-methods/VOTE_ELECTRONIC_ROLLCALL,def/ep-statuses/REJECTED,604.0,162.0,424.0,Draft legislative act ,,,,Council win,Thursday
2026-07-09-VOT-ITM-993015,eli/dl/event/MTG-PL-2026-07-09-DEC-195799,2026-07-09T13:28:50+02:00,def/ep-decision-methods/VOTE_ELECTRONIC_ROLLCALL,def/ep-statuses/REJECTED,608.0,257.0,292.0,Draft legislative act ,,,,Council win,Thursday
2026-07-09-VOT-ITM-993015,eli/dl/event/MTG-PL-2026-07-09-DEC-195797,2026-07-09T13:28:22+02:00,def/ep-decision-methods/VOTE_ELECTRONIC_ROLLCALL,def/ep-statuses/REJECTED,603.0,164.0,425.0,Draft legislative act ,,,,Council win,Thursday
2026-07-09-VOT-ITM-993015,eli/dl/event/MTG-PL-2026-07-09-DEC-195796,2026-07-09T13:28:06+02:00,def/ep-decision-methods/VOTE_ELECTRONIC_ROLLCALL,def/ep-statuses/REJECTED,614.0,353.0,254.0,Draft legislative act ,,,,Council win,Thursday
